Folder,File_ID,Status,Image_Path
Necessities_ADCO,1,fail,/home/quangnhvn34/data/fsoft/02_Working/logo_20260314/Necessities_ADCO/1.jpg
Necessities_ADCO,100,fail,/home/quangnhvn34/data/fsoft/02_Working/logo_20260314/Necessities_ADCO/100.jpg
Necessities_ADCO,101,fail,/home/quangnhvn34/data/fsoft/02_Working/logo_20260314/Necessities_ADCO/101.jpg
Necessities_ADCO,102,fail,/home/quangnhvn34/data/fsoft/02_Working/logo_20260314/Necessities_ADCO/102.jpg
Necessities_ADCO,103,fail,/home/quangnhvn34/data/fsoft/02_Working/logo_20260314/Necessities_ADCO/103.jpg
Necessities_ADCO,104,pass,/home/quangnhvn34/data/fsoft/02_Working/logo_20260314/Necessities_ADCO/104.jpg
Necessities_ADCO,105,pass,/home/quangnhvn34/data/fsoft/02_Working/logo_20260314/Necessities_ADCO/105.jpg
Necessities_ADCO,106,fail,/home/quangnhvn34/data/fsoft/02_Working/logo_20260314/Necessities_ADCO/106.jpg
Necessities_ADCO,107,fail,/home/quangnhvn34/data/fsoft/02_Working/logo_20260314/Necessities_ADCO/107.jpg
Necessities_ADCO,108,fail,/home/quangnhvn34/data/fsoft/02_Working/logo_20260314/Necessities_ADCO/108.jpg
Necessities_ADCO,109,fail,/home/quangnhvn34/data/fsoft/02_Working/logo_20260314/Necessities_ADCO/109.jpg
Necessities_ADCO,11,fail,/home/quangnhvn34/data/fsoft/02_Working/logo_20260314/Necessities_ADCO/11.jpg
Necessities_ADCO,110,fail,/home/quangnhvn34/data/fsoft/02_Working/logo_20260314/Necessities_ADCO/110.jpg
Necessities_ADCO,111,fail,/home/quangnhvn34/data/fsoft/02_Working/logo_20260314/Necessities_ADCO/111.jpg
Necessities_ADCO,112,pass,/home/quangnhvn34/data/fsoft/02_Working/logo_20260314/Necessities_ADCO/112.jpg
Necessities_ADCO,113,fail,/home/quangnhvn34/data/fsoft/02_Working/logo_20260314/Necessities_ADCO/113.jpg
Necessities_ADCO,114,fail,/home/quangnhvn34/data/fsoft/02_Working/logo_20260314/Necessities_ADCO/114.jpg
Necessities_ADCO,115,pass,/home/quangnhvn34/data/fsoft/02_Working/logo_20260314/Necessities_ADCO/115.jpg
Necessities_ADCO,116,pass,/home/quangnhvn34/data/fsoft/02_Working/logo_20260314/Necessities_ADCO/116.jpg
Necessities_ADCO,117,fail,/home/quangnhvn34/data/fsoft/02_Working/logo_20260314/Necessities_ADCO/117.jpg
Necessities_ADCO,118,fail,/home/quangnhvn34/data/fsoft/02_Working/logo_20260314/Necessities_ADCO/118.jpg
Necessities_ADCO,119,fail,/home/quangnhvn34/data/fsoft/02_Working/logo_20260314/Necessities_ADCO/119.jpg
Necessities_ADCO,12,fail,/home/quangnhvn34/data/fsoft/02_Working/logo_20260314/Necessities_ADCO/12.jpg
Necessities_ADCO,120,fail,/home/quangnhvn34/data/fsoft/02_Working/logo_20260314/Necessities_ADCO/120.jpg
Necessities_ADCO,121,fail,/home/quangnhvn34/data/fsoft/02_Working/logo_20260314/Necessities_ADCO/121.jpg
Necessities_ADCO,122,fail,/home/quangnhvn34/data/fsoft/02_Working/logo_20260314/Necessities_ADCO/122.jpg
Necessities_ADCO,123,pass,/home/quangnhvn34/data/fsoft/02_Working/logo_20260314/Necessities_ADCO/123.jpg
Necessities_ADCO,124,fail,/home/quangnhvn34/data/fsoft/02_Working/logo_20260314/Necessities_ADCO/124.jpg
Necessities_ADCO,125,pass,/home/quangnhvn34/data/fsoft/02_Working/logo_20260314/Necessities_ADCO/125.jpg
Necessities_ADCO,126,fail,/home/quangnhvn34/data/fsoft/02_Working/logo_20260314/Necessities_ADCO/126.jpg
Necessities_ADCO,128,fail,/home/quangnhvn34/data/fsoft/02_Working/logo_20260314/Necessities_ADCO/128.jpg
Necessities_ADCO,129,fail,/home/quangnhvn34/data/fsoft/02_Working/logo_20260314/Necessities_ADCO/129.jpg
Necessities_ADCO,13,fail,/home/quangnhvn34/data/fsoft/02_Working/logo_20260314/Necessities_ADCO/13.jpg
Necessities_ADCO,130,fail,/home/quangnhvn34/data/fsoft/02_Working/logo_20260314/Necessities_ADCO/130.jpg
Necessities_ADCO,132,fail,/home/quangnhvn34/data/fsoft/02_Working/logo_20260314/Necessities_ADCO/132.jpg
Necessities_ADCO,133,fail,/home/quangnhvn34/data/fsoft/02_Working/logo_20260314/Necessities_ADCO/133.jpg
Necessities_ADCO,135,fail,/home/quangnhvn34/data/fsoft/02_Working/logo_20260314/Necessities_ADCO/135.jpg
Necessities_ADCO,136,fail,/home/quangnhvn34/data/fsoft/02_Working/logo_20260314/Necessities_ADCO/136.jpg
Necessities_ADCO,137,pass,/home/quangnhvn34/data/fsoft/02_Working/logo_20260314/Necessities_ADCO/137.jpg
Necessities_ADCO,139,fail,/home/quangnhvn34/data/fsoft/02_Working/logo_20260314/Necessities_ADCO/139.jpg
Necessities_ADCO,14,fail,/home/quangnhvn34/data/fsoft/02_Working/logo_20260314/Necessities_ADCO/14.jpg
Necessities_ADCO,141,fail,/home/quangnhvn34/data/fsoft/02_Working/logo_20260314/Necessities_ADCO/141.jpg
Necessities_ADCO,142,fail,/home/quangnhvn34/data/fsoft/02_Working/logo_20260314/Necessities_ADCO/142.jpg
Necessities_ADCO,143,pass,/home/quangnhvn34/data/fsoft/02_Working/logo_20260314/Necessities_ADCO/143.jpg
Necessities_ADCO,144,fail,/home/quangnhvn34/data/fsoft/02_Working/logo_20260314/Necessities_ADCO/144.jpg
Necessities_ADCO,145,fail,/home/quangnhvn34/data/fsoft/02_Working/logo_20260314/Necessities_ADCO/145.jpg
Necessities_ADCO,146,fail,/home/quangnhvn34/data/fsoft/02_Working/logo_20260314/Necessities_ADCO/146.jpg
Necessities_ADCO,147,fail,/home/quangnhvn34/data/fsoft/02_Working/logo_20260314/Necessities_ADCO/147.jpg
Necessities_ADCO,148,pass,/home/quangnhvn34/data/fsoft/02_Working/logo_20260314/Necessities_ADCO/148.jpg
Necessities_ADCO,149,pass,/home/quangnhvn34/data/fsoft/02_Working/logo_20260314/Necessities_ADCO/149.jpg
Necessities_ADCO,15,pass,/home/quangnhvn34/data/fsoft/02_Working/logo_20260314/Necessities_ADCO/15.jpg
Necessities_ADCO,17,pass,/home/quangnhvn34/data/fsoft/02_Working/logo_20260314/Necessities_ADCO/17.jpg
Necessities_ADCO,18,fail,/home/quangnhvn34/data/fsoft/02_Working/logo_20260314/Necessities_ADCO/18.jpg
